study_word,test_word,Reference,Old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,P_li_e,police,old,police,,,,0,10,10,7,77.6925969,,,,,,,,77.6768382,77.6925969,77.6925969,77.6925969,0.0167527,82.4775532,pastry,[-0.025],[-0.3055555555555556],[1],[0],[0],[4.797521699918434],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,_ho_e,phone,old,phone,,,,0,11,11,12,82.4918788,,,,,,,,82.4782404,82.4918788,82.4918788,82.4918788,0.0023721,92.4910024,,[],[],[],[],[],[],[],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,l_pt_p,laptop,old,laptop,,,,0,12,12,0,92.5073766,,,,,,,,92.4918777,92.5073766,92.5073766,92.5073766,0.0166515,98.4417599,laptop,[-0.025],[-0.3055555555555556],[1],[0],[0],[5.946255899965763],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,c_s_io_,cushion,old,cushion,,,,0,13,13,14,98.456877,,,,,,,,98.4423072,98.456877,98.456877,98.456877,0.0021254,102.4414038,cushion,[-0.025],[-0.3055555555555556],[1],[0],[0],[3.996387100080028],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,T_hi_t,Tshirt,old,tshirt,,,,0,14,14,2,102.4562498,,,,,,,,102.4419404,102.4562498,102.4562498,102.4562498,0.0020959,106.4069975,tshirt,[-0.025],[-0.3055555555555556],[1],[0],[0],[3.9623966000508517],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,_a_bl,marble,old,marble,,,,0,15,15,11,106.4219598,,,,,,,,106.4076025,106.4219598,106.4219598,106.4219598,0.0021147,110.8569929,table,[-0.025],[-0.3055555555555556],[1],[0],[0],[4.446595400106162],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,P_as_tr,pastry ,old,pastry,,,,0,16,16,4,110.8715018,,,,,,,,110.857772,110.8715018,110.8715018,110.8715018,0.0027408,116.3893097,pastry,[-0.019444444444444445],[-0.3138888888888889],[1],[0],[0],[5.528255600016564],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,_oo_,book,old,book,,,,0,17,17,13,116.4042665,,,,,,,,116.3898464,116.4042665,116.4042665,116.4042665,0.0019339,121.0553108,book,[-0.019444444444444445],[-0.3138888888888889],[1],[0],[0],[4.662913300096989],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,v_s_,vase,new,vass,,,,0,18,18,17,121.0703346,,,,,,,,121.0557922,121.0703346,121.0703346,121.0703346,0.0033729,124.8057571,avse,[-0.03148148148148148],[-0.30648148148148147],[1],[0],[0],[3.745659099891782],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,c_m_ra,camera,new,camera,,,,0,19,19,19,124.8198579,,,,,,,,124.8064135,124.8198579,124.8198579,124.8198579,0.0024776,129.1209099,camera,[-0.03148148148148148],[-0.30648148148148147],[1],[0],[0],[4.311264000134543],['text_3'],461264,1,2024-11-07_21h14.44.239,Word Priming exp,2024.1.5,None,2024-11-07 21h14.48.468767 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,old ,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,new,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,priming,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
